SubjNo,gender,Location,Exp,YOT,MOT,DOT,YOB,MOB,DOB,Age.Months,Age.yrs,Age,Eng. Mono,langs,WordType,List,question.number,Order,trial type,LabelType,TriadType,regularity,animacy,Correct,UnrelatedChoice,Direction,Sequence ,Exclude,Comments,
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,2,9,critical,Different Label,Chicken,regular,animate,No,0,R,2,No,,
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,9,10,critical,Same Label,Horse,regular,animate,No,0,L,2,No,"experimenter pointed to wrong image at first, but quickly caught mistake ",
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,5,11,critical,Different Label,Glass,irregular,inanimate,No,0,R,2,No,,
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,1,12,critical,Same Label,Chicken,regular,animate,No,0,L,1,No,,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,A,,training,Same Label,,,,Yes,0,R,2,No,lots of hesitation before answering - required a lot of prompting,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,B,,training,Different Label,,,,Yes,0,R,2,No,,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,12,1,critical,Same Label,Horse,regular,animate,Yes,1,L,1,No,,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,8,2,critical,Different Label,Glass,irregular,inanimate,Yes,1,R,2,No,,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,4,3,critical,Same Label,Chicken,regular,animate,Yes,1,L,1,No,,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,11,4,critical,Different Label,Horse,regular,animate,Yes,1,R,2,No,,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,7,5,critical,Same Label,Glass,irregular,inanimate,No,0,R,2,No,,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,3,6,critical,Different Label,Chicken,regular,animate,Yes,1,R,2,No,,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,10,7,critical,Same Label,Horse,regular,animate,Yes,1,L,1,No,,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,6,8,critical,Different Label,Glass,irregular,inanimate,Yes,1,R,2,No,,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,2,9,critical,Same Label,Chicken,regular,animate,Yes,1,L,1,No,,
