SubjNo,Gender,Age,List,ItemNo,TriadType,Order,WordType,LabelType,Correct,UnrelatedChoice,Comments
13,F,23,1A Backwards,3,Chicken,6,Polysemous,Same,Y,1,
13,F,23,1A Backwards,4,Chicken,3,Polysemous,Different,Y,1,
13,F,23,1A Backwards,5,Glass,11,Polysemous,Different,Y,1,
13,F,23,1A Backwards,6,Glass,8,Polysemous,Same,N,0,
13,F,23,1A Backwards,7,Glass,5,Polysemous,Different,N,0,
13,F,23,1A Backwards,8,Glass,2,Polysemous,Same,Y,1,
13,F,23,1A Backwards,9,Horse,10,Polysemous,Same,Y,1,
13,F,23,1A Backwards,10,Horse,7,Polysemous,Different,Y,1,
13,F,23,1A Backwards,11,Horse,4,Polysemous,Same,N,0,
13,F,23,1A Backwards,12,Horse,1,Polysemous,Different,Y,1,
14,F,22,1A Backwards,1,Chicken,12,Unambiguous,Same,Y,0,Linguist/Psychologist
14,F,22,1A Backwards,2,Chicken,9,Unambiguous,Different,Y,0,
14,F,22,1A Backwards,3,Chicken,6,Unambiguous,Same,Y,0,
14,F,22,1A Backwards,4,Chicken,3,Unambiguous,Different,Y,0,
14,F,22,1A Backwards,5,Glass,11,Unambiguous,Different,N,1,
14,F,22,1A Backwards,6,Glass,8,Unambiguous,Same,Y,0,
14,F,22,1A Backwards,7,Glass,5,Unambiguous,Different,Y,0,
14,F,22,1A Backwards,8,Glass,2,Unambiguous,Same,Y,0,
14,F,22,1A Backwards,9,Horse,10,Unambiguous,Same,Y,0,
14,F,22,1A Backwards,10,Horse,7,Unambiguous,Different,Y,0,
14,F,22,1A Backwards,11,Horse,4,Unambiguous,Same,Y,0,
14,F,22,1A Backwards,12,Horse,1,Unambiguous,Different,Y,0,
15,F,21,1B Backwards,1,Chicken,3,Polysemous,Different,Y,1,
15,F,21,1B Backwards,2,Chicken,6,Polysemous,Same,Y,1,
15,F,21,1B Backwards,3,Chicken,9,Polysemous,Different,Y,1,
15,F,21,1B Backwards,4,Chicken,12,Polysemous,Same,Y,1,
15,F,21,1B Backwards,5,Glass,2,Polysemous,Same,Y,1,
15,F,21,1B Backwards,6,Glass,5,Polysemous,Different,N,0,
15,F,21,1B Backwards,7,Glass,8,Polysemous,Same,Y,1,
15,F,21,1B Backwards,8,Glass,11,Polysemous,Different,Y,1,
15,F,21,1B Backwards,9,Horse,1,Polysemous,Different,Y,1,
15,F,21,1B Backwards,10,Horse,4,Polysemous,Same,Y,1,
15,F,21,1B Backwards,11,Horse,7,Polysemous,Different,Y,1,
15,F,21,1B Backwards,12,Horse,10,Polysemous,Same,Y,1,
16,F,22,1B Backwards,1,Chicken,12,Unambiguous,Same,Y,0,
16,F,22,1B Backwards,2,Chicken,9,Unambiguous,Different,N,1,
16,F,22,1B Backwards,3,Chicken,6,Unambiguous,Same,N,1,
16,F,22,1B Backwards,4,Chicken,3,Unambiguous,Different,Y,0,
16,F,22,1B Backwards,5,Glass,11,Unambiguous,Different,Y,0,
16,F,22,1B Backwards,6,Glass,8,Unambiguous,Same,Y,0,
16,F,22,1B Backwards,7,Glass,5,Unambiguous,Different,Y,0,
16,F,22,1B Backwards,8,Glass,2,Unambiguous,Same,N,1,
16,F,22,1B Backwards,9,Horse,10,Unambiguous,Same,Y,0,
16,F,22,1B Backwards,10,Horse,7,Unambiguous,Different,Y,0,
16,F,22,1B Backwards,11,Horse,4,Unambiguous,Same,Y,0,
16,F,22,1B Backwards,12,Horse,1,Unambiguous,Different,N,1,
17,F,26,1B Backwards,1,Chicken,3,Polysemous,Different,Y,1,Dev Psych Undergrad
17,F,26,1B Backwards,2,Chicken,6,Polysemous,Same,Y,1,Dev Psych Undergrad
17,F,26,1B Backwards,3,Chicken,9,Polysemous,Different,Y,1,Dev Psych Undergrad
17,F,26,1B Backwards,4,Chicken,12,Polysemous,Same,Y,1,Dev Psych Undergrad
17,F,26,1B Backwards,5,Glass,2,Polysemous,Same,N,0,Dev Psych Undergrad
17,F,26,1B Backwards,6,Glass,5,Polysemous,Different,Y,1,Dev Psych Undergrad
17,F,26,1B Backwards,7,Glass,8,Polysemous,Same,Y,1,Dev Psych Undergrad
17,F,26,1B Backwards,8,Glass,11,Polysemous,Different,Y,1,Dev Psych Undergrad
17,F,26,1B Backwards,9,Horse,1,Polysemous,Different,Y,1,Dev Psych Undergrad
17,F,26,1B Backwards,10,Horse,4,Polysemous,Same,Y,1,Dev Psych Undergrad
17,F,26,1B Backwards,11,Horse,7,Polysemous,Different,Y,1,Dev Psych Undergrad
17,F,26,1B Backwards,12,Horse,10,Polysemous,Same,Y,1,Dev Psych Undergrad
18,M,39,1B Backwards,1,Chicken,12,Unambiguous,Same,Y,0,
18,M,39,1B Backwards,2,Chicken,9,Unambiguous,Different,Y,0,
18,M,39,1B Backwards,3,Chicken,6,Unambiguous,Same,Y,0,
18,M,39,1B Backwards,4,Chicken,3,Unambiguous,Different,Y,0,
